address,county,bed,bath,prop_type,area,price,price_n
"Barnadown Upper, Gorey, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Detached,200 m²,"€425,000",425000.0
"Apartment 4, Pointe Boise, Salthill, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,68 m²,"€320,000",320000.0
"1 Cúl Na Coirre, Headford, Co. Galway", Co. Galway,3 Bed,3 Bath,Semi-D,99 m²,Price on Application,0.0
"Killahurk, Carrigallen, Co. Leitrim", Co. Leitrim,4 Bed,3 Bath,Detached,210 m²,"€265,000",265000.0
"Gowlagh South, Bawnboy, Co. Cavan", Co. Cavan,5 Bed,3 Bath,Detached,190 m²,"€174,950",174950.0
"5 Hanover Square, Christchurch, Dublin 8", Dublin 8,2 Bed,1 Bath,Terrace,52 m²,"€340,000",340000.0
"14 Dun Oran, Oranhill, Oranmore, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,71 m²,"€150,000",150000.0
"Ballycraddock, Kilmeadan, Co. Waterford", Co. Waterford,5 Bed,3 Bath,Detached,331 m²,"€565,000",565000.0
"Daingean Road, Tullamore, Co. Offaly", Co. Offaly,5 Bed,3 Bath,Detached,225 m²,"€400,000",400000.0
"Apartment 5, Woodleigh Ash, Highfield Road, Rathmines, Dublin 6", Dublin 6,1 Bed,1 Bath,Apartment,43 m²,"€275,000",275000.0
"45 Seé¡n McDermott Terrace, Hill Street, Wexford Town, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Terrace,89 m²,"€195,000",195000.0
"Gorteen, Johnstownbridge",,,,Site,8.08 ac,"€225,000",225000.0
